participant,clip_title,timestamp,avg_bpm,bpm_drift,max_bpm,hr_sequence,self_reported_valence,self_reported_arousal,V_Cognitive_Alignment,V_Emotional_Resonance,V_Avg_Drift,A_Cognitive_Alignment,A_Emotional_Resonance,A_Avg_Drift,movie_name
ajaycc17,TheBlindSide_079.mp4,2025-12-25 13:33:29.720,93.11,1,96,"[92, 93, 94, 96, 93, 94, 94, 93, 93, 91, 90, 89, 90, 94, 96, 95, 94, 95, 93]",5,4,40.15,68.25,-0.409,36.86,55.47,-1.566,TheBlindSide
Nishant,TheBlindSide_080.mp4,2025-10-17 08:47:13.771,81.63,1,86,"[83, 82, 79, 77, 78, 80, 81, 80, 80, 81, 83, 84, 83, 82, 81, 82, 86, 85, 84]",3,3,31.75,60.95,-1.266,44.16,61.31,-0.836,TheBlindSide
debjit2001,TheBlindSide_080.mp4,2025-10-23 14:39:10.279,64.35,0,67,"[64, 64, 62, 62, 64, 67, 65, 64, 65, 67, 66, 63, 65, 64, 64, 64, 64]",5,3,41.61,59.49,-0.62,36.86,33.94,-1.42,TheBlindSide
pranjal123,TheBlindSide_080.mp4,2025-10-29 11:47:59.053,80.53,-2,82,"[81, 82, 81, 80, 79, 80, 79, 81, 82, 82, 81, 80, 79, 80, 82, 82, 81, 79, 79]",4,4,32.12,35.77,-1.38,23.72,30.29,-1.741,TheBlindSide
aritra,TheBlindSide_080.mp4,2025-11-06 10:24:04.057,78.43,0,84,"[80, 80, 79, 79, 78, 77, 77, 76, 75, 76, 76, 76, 76, 77, 78, 79, 79, 82, 84, 83, 80]",3,2,23.72,65.69,-1.073,18.25,70.8,-1.482,TheBlindSide
sayantankuila,TheBlindSide_080.mp4,2025-11-21 13:27:05.815,94.0,-3,97,"[97, 96, 92, 90, 92, 94, 96, 97, 95, 94, 93, 94, 93, 91, 93, 95, 95, 95, 94]",5,4,43.43,67.88,-0.69,41.97,49.64,-1.201,TheBlindSide
ajaycc17,TheBlindSide_080.mp4,2025-12-09 12:59:23.675,105.53,1,110,"[106, 107, 107, 105, 103, 105, 103, 102, 102, 103, 105, 106, 107, 110, 109, 107, 107]",4,4,40.15,68.25,-0.409,36.86,55.47,-1.566,TheBlindSide
debjit2001,TheBlindSide_081.mp4,2025-10-23 16:03:01.498,67.21,8,84,"[63, 61, 61, 63, 61, 64, 67, 66, 64, 63, 64, 66, 65, 64, 77, 74, 84, 79, 71]",3,2,41.61,59.49,-0.62,36.86,33.94,-1.42,TheBlindSide
aritra,TheBlindSide_081.mp4,2025-10-28 15:24:28.977,75.15,-7,79,"[79, 76, 73, 72, 73, 74, 76, 79, 77, 75, 76, 75, 74, 76, 78, 78, 75, 73, 72, 72]",2,1,23.72,65.69,-1.073,18.25,70.8,-1.482,TheBlindSide
sayantankuila,TheBlindSide_081.mp4,2025-11-21 13:42:35.008,101.52,-9,108,"[105, 107, 108, 107, 107, 105, 99, 96, 95, 96, 98, 103, 108, 107, 106, 103, 102, 100, 96, 97, 97, 97, 96]",3,4,43.43,67.88,-0.69,41.97,49.64,-1.201,TheBlindSide
ajaycc17,TheBlindSide_081.mp4,2025-12-25 13:09:15.065,91.18,8,96,"[88, 84, 82, 85, 87, 91, 94, 93, 91, 93, 95, 96, 94, 93, 93, 95, 96]",2,3,40.15,68.25,-0.409,36.86,55.47,-1.566,TheBlindSide
debjit2001,TheBlindSide_082.mp4,2025-10-15 17:14:51.940,68.48,1,74,"[72, 73, 70, 68, 69, 67, 65, 66, 69, 70, 68, 69, 70, 67, 66, 65, 64, 65, 66, 67, 72, 74, 73]",3,2,41.61,59.49,-0.62,36.86,33.94,-1.42,TheBlindSide
Nishant,TheBlindSide_082.mp4,2025-10-17 08:48:43.810,82.53,-2,86,"[81, 82, 86, 85, 84, 83, 84, 85, 84, 85, 83, 82, 82, 79, 79, 80, 79]",3,3,31.75,60.95,-1.266,44.16,61.31,-0.836,TheBlindSide
aritra,TheBlindSide_082.mp4,2025-11-06 08:46:58.873,76.6,-9,84,"[84, 83, 80, 76, 76, 74, 73, 76, 75, 75, 77, 79, 78, 76, 76, 76, 75, 74, 74, 75]",1,1,23.72,65.69,-1.073,18.25,70.8,-1.482,TheBlindSide
sayantankuila,TheBlindSide_082.mp4,2025-11-21 12:30:45.500,94.47,3,96,"[92, 93, 94, 93, 94, 94, 95, 95, 96, 95, 94, 95, 96, 96, 95]",4,4,43.43,67.88,-0.69,41.97,49.64,-1.201,TheBlindSide
ajaycc17,TheBlindSide_082.mp4,2025-12-25 13:30:25.089,93.23,-12,104,"[101, 98, 95, 96, 98, 104, 96, 94, 92, 89, 90, 88, 90, 94, 99, 95, 91, 89, 87, 87, 89, 89]",1,2,40.15,68.25,-0.409,36.86,55.47,-1.566,TheBlindSide
debjit2001,TheBlindSide_083.mp4,2025-10-23 15:01:28.112,67.67,-11,75,"[74, 75, 70, 68, 69, 72, 71, 69, 66, 63, 63, 63, 65, 64, 63]",2,2,41.61,59.49,-0.62,36.86,33.94,-1.42,TheBlindSide
aritra,TheBlindSide_083.mp4,2025-11-06 10:16:49.910,80.05,-4,85,"[80, 79, 80, 81, 79, 81, 84, 85, 85, 84, 82, 81, 80, 79, 77, 76, 76, 76, 76]",2,3,23.72,65.69,-1.073,18.25,70.8,-1.482,TheBlindSide
sayantankuila,TheBlindSide_083.mp4,2025-11-21 12:49:10.561,94.05,-5,100,"[97, 98, 100, 99, 98, 97, 95, 89, 90, 91, 89, 91, 92, 93, 94, 93, 95, 95, 94, 93, 92]",4,3,43.43,67.88,-0.69,41.97,49.64,-1.201,TheBlindSide
ajaycc17,TheBlindSide_083.mp4,2025-12-09 13:55:18.410,107.43,-5,115,"[110, 111, 114, 115, 113, 112, 104, 100, 103, 102, 105, 106, 108, 107, 105, 106, 108, 109, 107, 106, 105]",1,2,40.15,68.25,-0.409,36.86,55.47,-1.566,TheBlindSide
debjit2001,TheBlindSide_084.mp4,2025-10-15 16:33:27.470,70.79,13,84,"[69, 68, 69, 69, 69, 68, 69, 70, 69, 68, 68, 67, 68, 69, 69, 72, 78, 84, 82]",3,2,41.61,59.49,-0.62,36.86,33.94,-1.42,TheBlindSide
Nishant,TheBlindSide_084.mp4,2025-10-17 09:13:27.425,84.05,4,92,"[88, 87, 84, 83, 86, 83, 87, 83, 85, 83, 81, 79, 81, 83, 84, 83, 81, 84, 92]",3,3,31.75,60.95,-1.266,44.16,61.31,-0.836,TheBlindSide
aritra,TheBlindSide_084.mp4,2025-10-28 15:18:53.656,78.27,1,81,"[78, 79, 80, 81, 78, 75, 77, 78, 78, 79, 77, 76, 79, 80, 79]",3,1,23.72,65.69,-1.073,18.25,70.8,-1.482,TheBlindSide
pranjal123,TheBlindSide_084.mp4,2025-10-29 11:46:38.863,78.71,2,82,"[77, 77, 77, 76, 77, 79, 78, 78, 78, 79, 81, 82, 81, 80, 79, 80, 79]",3,3,32.12,35.77,-1.38,23.72,30.29,-1.741,TheBlindSide
sayantankuila,TheBlindSide_084.mp4,2025-11-21 13:31:02.196,92.8,-2,95,"[95, 95, 95, 95, 94, 93, 90, 91, 92, 92, 91, 91, 92, 93, 93]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,TheBlindSide
ajaycc17,TheBlindSide_084.mp4,2025-12-25 13:04:19.075,97.8,-6,106,"[98, 97, 94, 95, 95, 94, 95, 96, 97, 102, 106, 103, 101, 97, 99, 98, 98, 99, 100, 92]",4,3,40.15,68.25,-0.409,36.86,55.47,-1.566,TheBlindSide
Nishant,TheBlindSide_085.mp4,2025-10-17 08:29:20.280,80.06,-2,83,"[83, 83, 82, 79, 78, 80, 81, 82, 80, 79, 81, 81, 80, 78, 76, 77, 80, 81]",3,3,31.75,60.95,-1.266,44.16,61.31,-0.836,TheBlindSide
debjit2001,TheBlindSide_085.mp4,2025-10-23 14:37:52.413,66.15,-4,73,"[71, 70, 66, 68, 73, 72, 71, 66, 62, 65, 66, 64, 63, 63, 64, 64, 62, 62, 64, 67]",3,1,41.61,59.49,-0.62,36.86,33.94,-1.42,TheBlindSide
aritra,TheBlindSide_085.mp4,2025-11-06 08:26:38.986,81.63,10,87,"[77, 78, 79, 80, 82, 80, 79, 80, 81, 82, 81, 81, 83, 84, 84, 83, 84, 86, 87]",2,1,23.72,65.69,-1.073,18.25,70.8,-1.482,TheBlindSide
sayantankuila,TheBlindSide_085.mp4,2025-11-21 12:31:00.130,94.62,-1,96,"[94, 93, 94, 94, 95, 95, 96, 95, 94, 95, 96, 96, 95, 95, 94, 93]",4,4,43.43,67.88,-0.69,41.97,49.64,-1.201,TheBlindSide
ajaycc17,TheBlindSide_085.mp4,2025-12-25 13:08:41.582,90.42,0,96,"[94, 93, 92, 91, 88, 87, 88, 84, 82, 85, 87, 91, 94, 93, 91, 93, 95, 96, 94]",5,2,40.15,68.25,-0.409,36.86,55.47,-1.566,TheBlindSide
Nishant,TheBlindSide_086.mp4,2025-10-17 08:55:14.200,81.67,0,86,"[81, 79, 78, 79, 84, 86, 85, 84, 81, 80, 82, 84, 85, 81, 81, 79, 80, 81]",3,2,31.75,60.95,-1.266,44.16,61.31,-0.836,TheBlindSide
debjit2001,TheBlindSide_086.mp4,2025-10-22 07:27:36.050,65.39,-13,73,"[71, 73, 71, 72, 73, 72, 70, 68, 66, 64, 60, 59, 60, 61, 62, 59, 58, 58]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,TheBlindSide
aritra,TheBlindSide_086.mp4,2025-11-06 09:09:50.118,81.95,12,91,"[77, 79, 79, 78, 76, 75, 75, 78, 82, 85, 86, 85, 84, 83, 82, 85, 88, 91, 89]",2,2,23.72,65.69,-1.073,18.25,70.8,-1.482,TheBlindSide
sayantankuila,TheBlindSide_086.mp4,2025-11-21 13:02:28.416,86.9,0,90,"[89, 85, 83, 81, 81, 82, 84, 88, 89, 90, 89, 90, 89, 88, 87, 87, 87, 88, 89, 90, 89]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,TheBlindSide
debjit2001,TheBlindSide_087.mp4,2025-10-15 16:41:42.515,72.76,5,79,"[74, 77, 76, 74, 71, 71, 70, 68, 71, 72, 70, 68, 70, 73, 76, 77, 79]",5,3,41.61,59.49,-0.62,36.86,33.94,-1.42,TheBlindSide
aritra,TheBlindSide_087.mp4,2025-11-06 10:58:45.724,77.38,4,84,"[76, 75, 75, 77, 78, 77, 78, 79, 78, 73, 72, 76, 78, 82, 84, 80]",4,3,23.72,65.69,-1.073,18.25,70.8,-1.482,TheBlindSide
sayantankuila,TheBlindSide_087.mp4,2025-11-21 12:53:56.722,91.84,-5,95,"[94, 93, 92, 91, 92, 93, 94, 93, 91, 91, 91, 92, 95, 93, 92, 90, 90, 89, 89]",3,4,43.43,67.88,-0.69,41.97,49.64,-1.201,TheBlindSide
ajaycc17,TheBlindSide_087.mp4,2025-12-09 14:05:06.243,100.74,1,104,"[102, 103, 102, 100, 104, 101, 100, 96, 97, 98, 98, 99, 100, 102, 103, 103, 101, 102, 103]",4,2,40.15,68.25,-0.409,36.86,55.47,-1.566,TheBlindSide
debjit2001,TheBlindSide_088.mp4,2025-10-15 17:13:08.913,74.6,0,87,"[68, 71, 76, 78, 83, 82, 83, 87, 84, 81, 73, 71, 68, 67, 66, 71, 72, 73, 70, 68]",4,2,41.61,59.49,-0.62,36.86,33.94,-1.42,TheBlindSide
aritra,TheBlindSide_088.mp4,2025-10-28 15:26:58.198,78.0,4,83,"[75, 75, 75, 74, 73, 75, 81, 83, 83, 82, 81, 79]",5,1,23.72,65.69,-1.073,18.25,70.8,-1.482,TheBlindSide
pranjal123,TheBlindSide_088.mp4,2025-10-29 10:57:54.333,77.94,-1,80,"[79, 78, 77, 77, 77, 76, 77, 78, 78, 77, 79, 78, 77, 79, 80, 79, 79, 78]",3,2,32.12,35.77,-1.38,23.72,30.29,-1.741,TheBlindSide
sayantankuila,TheBlindSide_088.mp4,2025-11-21 13:10:06.966,88.36,-1,98,"[91, 90, 85, 82, 82, 83, 85, 84, 85, 86, 84, 83, 83, 84, 89, 94, 96, 98, 97, 98, 95, 90]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,TheBlindSide
ajaycc17,TheBlindSide_088.mp4,2025-12-25 12:35:00.871,98.22,7,103,"[92, 93, 93, 95, 97, 99, 97, 98, 103, 102, 101, 100, 101, 102, 103, 98, 95, 99]",5,3,40.15,68.25,-0.409,36.86,55.47,-1.566,TheBlindSide
Nishant,TheBlindSide_089.mp4,2025-10-17 09:45:52.536,81.18,6,85,"[74, 78, 79, 82, 85, 83, 80, 82, 83, 84, 84, 84, 82, 81, 79, 80, 80]",2,2,31.75,60.95,-1.266,44.16,61.31,-0.836,TheBlindSide
debjit2001,TheBlindSide_089.mp4,2025-10-23 15:27:48.020,66.14,14,76,"[62, 62, 63, 64, 64, 65, 66, 63, 62, 64, 68, 73, 74, 76]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,TheBlindSide
aritra,TheBlindSide_089.mp4,2025-10-28 13:57:03.859,68.63,-2,79,"[65, 66, 68, 69, 77, 79, 78, 76, 73, 71, 70, 67, 67, 65, 64, 63, 62, 61, 63]",4,1,23.72,65.69,-1.073,18.25,70.8,-1.482,TheBlindSide
pranjal123,TheBlindSide_089.mp4,2025-10-29 11:09:58.547,77.81,-3,81,"[79, 78, 80, 81, 80, 79, 78, 77, 77, 75, 75, 76, 79, 78, 77, 76]",3,2,32.12,35.77,-1.38,23.72,30.29,-1.741,TheBlindSide
sayantankuila,TheBlindSide_089.mp4,2025-11-20 07:59:33.399,74.43,-4,90,"[76, 76, 77, 79, 87, 90, 85, 81, 71, 69, 68, 70, 72, 68, 67, 69, 70, 75, 76, 74, 70, 70, 72]",4,4,43.43,67.88,-0.69,41.97,49.64,-1.201,TheBlindSide
ajaycc17,TheBlindSide_089.mp4,2025-12-25 12:57:10.408,95.38,-3,103,"[94, 95, 96, 96, 96, 98, 100, 102, 103, 100, 96, 95, 97, 97, 92, 90, 91, 92, 92, 90, 91]",5,3,40.15,68.25,-0.409,36.86,55.47,-1.566,TheBlindSide
debjit2001,TheBlindSide_091.mp4,2025-10-23 15:42:40.489,66.9,0,77,"[64, 62, 60, 62, 62, 59, 61, 64, 68, 70, 72, 77, 75, 72, 69, 70, 73, 70, 66, 65, 64]",5,5,41.61,59.49,-0.62,36.86,33.94,-1.42,TheBlindSide
pranjal123,TheBlindSide_091.mp4,2025-10-29 11:05:51.625,81.62,-2,86,"[86, 85, 85, 84, 84, 83, 82, 82, 80, 77, 77, 77, 78, 79, 83, 84]",4,3,32.12,35.77,-1.38,23.72,30.29,-1.741,TheBlindSide
aritra,TheBlindSide_091.mp4,2025-11-06 08:36:25.008,80.94,-5,84,"[80, 81, 80, 80, 82, 82, 82, 82, 82, 83, 82, 81, 82, 84, 82, 80, 77, 75]",3,2,23.72,65.69,-1.073,18.25,70.8,-1.482,TheBlindSide
sayantankuila,TheBlindSide_091.mp4,2025-11-21 13:20:49.714,90.75,7,96,"[88, 88, 89, 90, 91, 90, 87, 88, 88, 87, 88, 89, 91, 92, 94, 95, 96, 93, 96, 95]",3,4,43.43,67.88,-0.69,41.97,49.64,-1.201,TheBlindSide
ajaycc17,TheBlindSide_091.mp4,2025-12-09 13:16:34.642,105.16,0,109,"[106, 107, 106, 103, 100, 98, 101, 105, 106, 107, 105, 106, 107, 109, 109, 108, 106, 103, 106]",5,3,40.15,68.25,-0.409,36.86,55.47,-1.566,TheBlindSide
debjit2001,TheBlindSide_092.mp4,2025-10-15 16:32:00.220,69.18,0,72,"[68, 69, 70, 69, 69, 69, 70, 72, 71, 69, 68, 69, 68, 69, 69, 69, 68]",5,3,41.61,59.49,-0.62,36.86,33.94,-1.42,TheBlindSide
Nishant,TheBlindSide_092.mp4,2025-10-17 10:00:47.769,78.9,1,84,"[79, 80, 79, 78, 79, 79, 81, 76, 78, 78, 81, 83, 84, 83, 78, 75, 74, 74, 79, 80]",4,3,31.75,60.95,-1.266,44.16,61.31,-0.836,TheBlindSide
aritra,TheBlindSide_092.mp4,2025-10-28 15:48:56.766,76.21,5,80,"[74, 76, 77, 73, 71, 72, 75, 77, 77, 75, 76, 76, 78, 80, 79, 78, 77, 78, 79]",5,1,23.72,65.69,-1.073,18.25,70.8,-1.482,TheBlindSide
pranjal123,TheBlindSide_092.mp4,2025-10-29 11:46:11.191,78.2,5,82,"[77, 79, 78, 77, 77, 77, 76, 77, 79, 78, 78, 78, 79, 81, 82]",3,2,32.12,35.77,-1.38,23.72,30.29,-1.741,TheBlindSide
sayantankuila,TheBlindSide_092.mp4,2025-11-21 12:49:43.362,92.32,-3,95,"[95, 89, 90, 91, 89, 91, 92, 93, 94, 93, 95, 95, 94, 93, 92, 91, 92, 93, 92]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,TheBlindSide
ajaycc17,TheBlindSide_092.mp4,2025-12-09 13:14:48.549,106.41,-1,110,"[108, 106, 108, 106, 106, 105, 105, 106, 104, 105, 106, 108, 110, 106, 107, 106, 107]",5,4,40.15,68.25,-0.409,36.86,55.47,-1.566,TheBlindSide
Nishant,TheBlindSide_093.mp4,2025-10-17 10:04:45.262,81.61,2,84,"[80, 79, 78, 81, 82, 84, 84, 83, 82, 81, 82, 80, 79, 82, 83, 84, 83, 82]",3,2,31.75,60.95,-1.266,44.16,61.31,-0.836,TheBlindSide
debjit2001,TheBlindSide_093.mp4,2025-10-23 15:43:47.839,67.74,-1,73,"[72, 69, 70, 73, 70, 66, 65, 64, 66, 65, 67, 68, 65, 68, 69, 66, 65, 68, 71]",5,4,41.61,59.49,-0.62,36.86,33.94,-1.42,TheBlindSide
aritra,TheBlindSide_093.mp4,2025-11-06 10:31:45.078,75.1,-13,88,"[88, 87, 83, 74, 71, 73, 74, 73, 73, 72, 71, 70, 70, 71, 74, 76, 77, 76, 75, 74, 75]",4,3,23.72,65.69,-1.073,18.25,70.8,-1.482,TheBlindSide
sayantankuila,TheBlindSide_093.mp4,2025-11-21 13:35:23.115,94.53,2,98,"[95, 96, 98, 98, 96, 94, 96, 98, 97, 92, 87, 89, 92, 94, 92, 91, 96, 98, 97]",5,5,43.43,67.88,-0.69,41.97,49.64,-1.201,TheBlindSide
ajaycc17,TheBlindSide_093.mp4,2025-12-25 13:01:55.368,96.24,5,104,"[92, 93, 94, 90, 90, 90, 91, 93, 94, 97, 98, 96, 97, 99, 100, 101, 102, 103, 104, 100, 97]",5,3,40.15,68.25,-0.409,36.86,55.47,-1.566,TheBlindSide
debjit2001,TheFaultInOurStars_000.mp4,2025-10-15 16:40:36.345,74.4,-4,77,"[75, 74, 75, 76, 77, 76, 75, 74, 71, 74, 77, 76, 74, 71, 71]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,TheFaultInOurStars
Nishant,TheFaultInOurStars_000.mp4,2025-10-17 08:56:54.280,78.68,-3,83,"[79, 80, 81, 80, 79, 77, 81, 82, 83, 82, 81, 81, 79, 77, 75, 73, 74, 75, 76]",3,2,31.75,60.95,-1.266,44.16,61.31,-0.836,TheFaultInOurStars
aritra,TheFaultInOurStars_000.mp4,2025-10-28 13:59:55.468,66.16,2,73,"[62, 61, 61, 62, 63, 64, 64, 64, 66, 71, 72, 73, 71, 69, 70, 69, 66, 65, 64]",4,1,23.72,65.69,-1.073,18.25,70.8,-1.482,TheFaultInOurStars
sayantankuila,TheFaultInOurStars_000.mp4,2025-11-21 13:26:49.902,94.86,-3,100,"[98, 99, 100, 98, 97, 96, 92, 90, 92, 94, 96, 97, 95, 94, 93, 94, 93, 91, 93, 95, 95, 95]",4,5,43.43,67.88,-0.69,41.97,49.64,-1.201,TheFaultInOurStars
ajaycc17,TheFaultInOurStars_000.mp4,2025-12-09 13:50:47.316,101.17,3,105,"[99, 101, 100, 98, 99, 98, 98, 100, 102, 105, 103, 103, 102, 101, 102, 103, 105, 102]",4,4,40.15,68.25,-0.409,36.86,55.47,-1.566,TheFaultInOurStars
Nishant,TheFaultInOurStars_001.mp4,2025-10-17 10:08:57.100,81.05,3,84,"[78, 80, 81, 80, 79, 80, 81, 84, 83, 81, 80, 82, 83, 82, 80, 82, 81, 82, 81]",3,4,31.75,60.95,-1.266,44.16,61.31,-0.836,TheFaultInOurStars
debjit2001,TheFaultInOurStars_001.mp4,2025-10-23 14:57:52.156,72.5,-7,79,"[72, 77, 78, 79, 77, 75, 72, 71, 72, 71, 70, 74, 76, 71, 68, 70, 72, 71, 69, 65]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,TheFaultInOurStars
aritra,TheFaultInOurStars_001.mp4,2025-10-28 15:15:25.441,77.56,-2,83,"[75, 76, 80, 82, 83, 81, 78, 76, 75, 75, 76, 77, 78, 79, 77, 73]",4,1,23.72,65.69,-1.073,18.25,70.8,-1.482,TheFaultInOurStars
pranjal123,TheFaultInOurStars_001.mp4,2025-10-29 11:50:29.052,79.74,3,84,"[80, 79, 78, 76, 77, 78, 80, 79, 78, 79, 80, 83, 84, 82, 78, 79, 80, 82, 83]",3,3,32.12,35.77,-1.38,23.72,30.29,-1.741,TheFaultInOurStars
sayantankuila,TheFaultInOurStars_001.mp4,2025-11-21 13:37:08.804,95.06,-4,98,"[96, 98, 97, 96, 96, 98, 97, 94, 93, 93, 93, 92, 93, 96, 97, 96, 94, 92]",4,2,43.43,67.88,-0.69,41.97,49.64,-1.201,TheFaultInOurStars
ajaycc17,TheFaultInOurStars_001.mp4,2025-12-25 12:05:41.103,101.23,-9,107,"[102, 106, 107, 104, 103, 104, 105, 101, 101, 103, 102, 100, 98, 96, 97, 99, 100, 104, 103, 100, 99, 93]",4,2,40.15,68.25,-0.409,36.86,55.47,-1.566,TheFaultInOurStars
Nishant,TheFaultInOurStars_002.mp4,2025-10-17 10:07:11.265,81.59,0,85,"[80, 81, 80, 82, 84, 83, 84, 83, 84, 85, 84, 83, 81, 78, 77, 78, 80]",4,4,31.75,60.95,-1.266,44.16,61.31,-0.836,TheFaultInOurStars
debjit2001,TheFaultInOurStars_002.mp4,2025-10-23 14:40:23.107,68.12,4,73,"[65, 64, 64, 64, 64, 66, 68, 70, 69, 69, 69, 70, 71, 73, 72, 71, 69]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,TheFaultInOurStars
aritra,TheFaultInOurStars_002.mp4,2025-10-28 15:26:23.467,75.33,11,83,"[72, 74, 73, 74, 75, 75, 75, 74, 73, 75, 81, 83]",5,3,23.72,65.69,-1.073,18.25,70.8,-1.482,TheFaultInOurStars
sayantankuila,TheFaultInOurStars_002.mp4,2025-11-21 13:03:32.091,88.06,0,90,"[88, 87, 87, 87, 88, 89, 90, 89, 88, 87, 88, 88, 88, 89, 88, 88]",4,4,43.43,67.88,-0.69,41.97,49.64,-1.201,TheFaultInOurStars
ajaycc17,TheFaultInOurStars_002.mp4,2025-12-09 13:24:31.988,102.95,-2,105,"[104, 102, 101, 102, 103, 103, 102, 101, 103, 104, 104, 103, 103, 104, 104, 105, 105, 101, 102]",5,3,40.15,68.25,-0.409,36.86,55.47,-1.566,TheFaultInOurStars
debjit2001,TheFaultInOurStars_003.mp4,2025-10-15 16:46:00.010,74.4,0,79,"[75, 77, 78, 77, 78, 79, 77, 74, 73, 72, 71, 73, 72, 71, 70, 70, 72, 78, 76, 75]",5,3,41.61,59.49,-0.62,36.86,33.94,-1.42,TheFaultInOurStars
Nishant,TheFaultInOurStars_003.mp4,2025-10-17 09:57:10.288,81.12,-4,85,"[79, 79, 81, 83, 84, 83, 83, 84, 85, 84, 85, 81, 80, 79, 78, 76, 75]",4,3,31.75,60.95,-1.266,44.16,61.31,-0.836,TheFaultInOurStars
aritra,TheFaultInOurStars_003.mp4,2025-10-28 13:43:54.885,65.54,2,69,"[66, 65, 66, 64, 65, 63, 63, 66, 65, 65, 67, 69, 68]",5,3,23.72,65.69,-1.073,18.25,70.8,-1.482,TheFaultInOurStars
pranjal123,TheFaultInOurStars_003.mp4,2025-10-29 11:40:08.770,74.6,-2,77,"[76, 74, 75, 77, 77, 76, 75, 75, 74, 73, 72, 72, 74, 75, 74]",3,3,32.12,35.77,-1.38,23.72,30.29,-1.741,TheFaultInOurStars
sayantankuila,TheFaultInOurStars_003.mp4,2025-11-21 13:36:57.061,94.89,4,98,"[92, 91, 96, 98, 97, 96, 96, 98, 97, 94, 93, 93, 93, 92, 93, 96, 97, 96]",4,3,43.43,67.88,-0.69,41.97,49.64,-1.201,TheFaultInOurStars
ajaycc17,TheFaultInOurStars_003.mp4,2025-12-25 12:43:10.031,94.55,5,99,"[91, 88, 90, 92, 95, 98, 99, 98, 97, 95, 94, 93, 92, 94, 95, 95, 96, 98, 95, 96]",5,3,40.15,68.25,-0.409,36.86,55.47,-1.566,TheFaultInOurStars
debjit2001,TheFaultInOurStars_004.mp4,2025-10-15 17:22:07.606,66.22,1,69,"[68, 69, 66, 63, 62, 62, 63, 65, 67, 66, 66, 68, 69, 68, 66, 67, 68, 69]",3,2,41.61,59.49,-0.62,36.86,33.94,-1.42,TheFaultInOurStars
aritra,TheFaultInOurStars_004.mp4,2025-10-28 15:13:49.854,78.6,2,83,"[80, 81, 80, 81, 83, 81, 79, 78, 80, 81, 79, 77, 76, 75, 74, 74, 75, 76, 80, 82]",2,1,23.72,65.69,-1.073,18.25,70.8,-1.482,TheFaultInOurStars
pranjal123,TheFaultInOurStars_004.mp4,2025-10-29 11:51:52.544,81.05,-5,84,"[84, 82, 78, 79, 80, 82, 83, 83, 82, 81, 82, 83, 82, 82, 81, 81, 78, 79, 82, 81, 79, 79]",4,3,32.12,35.77,-1.38,23.72,30.29,-1.741,TheFaultInOurStars
sayantankuila,TheFaultInOurStars_004.mp4,2025-11-21 12:31:18.128,94.6,-2,96,"[94, 94, 95, 95, 96, 95, 94, 95, 96, 96, 95, 95, 94, 93, 92]",4,4,43.43,67.88,-0.69,41.97,49.64,-1.201,TheFaultInOurStars
ajaycc17,TheFaultInOurStars_004.mp4,2025-12-09 13:49:28.860,101.21,-7,106,"[105, 106, 105, 101, 99, 103, 106, 105, 104, 102, 98, 100, 94, 99, 101, 100, 98, 99, 98]",3,2,40.15,68.25,-0.409,36.86,55.47,-1.566,TheFaultInOurStars
Nishant,TheFaultInOurStars_005.mp4,2025-10-17 09:47:00.803,81.59,-3,85,"[84, 84, 82, 81, 79, 80, 80, 83, 83, 85, 85, 82, 79, 80, 79, 80, 81]",3,4,31.75,60.95,-1.266,44.16,61.31,-0.836,TheFaultInOurStars
debjit2001,TheFaultInOurStars_005.mp4,2025-10-23 15:46:05.401,64.45,6,71,"[62, 61, 62, 61, 60, 61, 66, 64, 63, 62, 65, 64, 65, 66, 64, 69, 71, 68, 67, 68]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,TheFaultInOurStars
aritra,TheFaultInOurStars_005.mp4,2025-11-06 08:58:53.448,75.48,3,79,"[74, 75, 75, 75, 76, 79, 77, 74, 74, 71, 70, 72, 78, 77, 75, 74, 75, 79, 79, 79, 77]",2,2,23.72,65.69,-1.073,18.25,70.8,-1.482,TheFaultInOurStars
ajaycc17,TheFaultInOurStars_005.mp4,2025-11-16 13:39:56.635,81.83,2,89,"[81, 82, 83, 86, 88, 89, 81, 79, 76, 77, 81, 80, 81, 81, 81, 82, 82, 83]",4,5,40.15,68.25,-0.409,36.86,55.47,-1.566,TheFaultInOurStars
sayantankuila,TheFaultInOurStars_005.mp4,2025-11-21 12:52:23.115,92.71,-1,95,"[92, 93, 94, 94, 93, 93, 94, 95, 91, 92, 90, 92, 93, 94, 93, 92, 91]",3,4,43.43,67.88,-0.69,41.97,49.64,-1.201,TheFaultInOurStars
